,ranking,title,artist,peak,prev,streak
0,1, Turn The Lights Off,"Kato, Jon",1,1,25
1,2, Fanatismo,Yasmin Sensação,2,2,4
2,3, I Thought I Saw Your Face Today,She & Him,3,3,53
3,4," Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",4,4,18
4,5, Pase y Toque,"BeatBoy, Victor Mendivil",5,6,4
5,6, SO ASU x Dora Dora,melo,6,7,2
6,7, FA9LA,Flipperachi,1,5,24
7,8, DUY BENİ,Göksel İpekçi,7,8,4
8,9, gravity,all things break,6,9,18
9,10, you broke my heart (Hoodtrap / Mylancore Remix),"kobzx2z, Myla, Kryd",10,—,1
10,11, Alô Virgínia - Ao Vivo,"Grupo Chocolate, Turma do Pagode",5,10,11
11,12, Seet Lehar,"Filmy, Riyaazi",9,12,9
12,13, Die On This Hill,SIENNA SPIRO,8,13,67
13,14, Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",7,11,42
14,15, СВЕТЛАНА!,NEXTIME,6,14,15
15,16, EEEE A,dia,12,15,14
16,17, Al Final del Día,Xolo Music,17,20,2
17,18, Zoo,"Disney, Shakira",6,19,36
18,19, bargad,"sufr, Arpit Bala, toorjo dey",1,16,41
19,20, Montagem Miau,Lenar,3,17,32
20,21, Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",19,21,4
21,22, My Moon My Man,Feist,22,25,10
22,23, 4 Raws,EsDeeKid,11,23,102
23,24, Meri Zindagi Hai Tu,"Asim Azhar, Sabri Sisters",15,18,28
24,25, Ya Borracho,Herencia De Grandes,7,26,39
25,26, BOO,H3adband,22,27,18
26,27, KALYANI,"ARJN, KDS, FIFTY4, RONN",22,22,32
27,28," Big Guy - from ""The SpongeBob Movie: Search for SquarePants”",Ice Spice,23,28,32
28,29, ดอกกระเจียวบาน,Kong Huayrai,18,24,4
29,30, Hawa Hawa,Hassan Jahangir,28,30,5
30,31, KUSURA BAKMA,BLOK3,5,29,18
31,32, Meu Bem Querer,Yasmin Sensação,21,32,4
32,33, SNOKONOKO,"Al Xapo, Benzoo, EeQue",9,31,18
33,34, End of Beginning,Djo,1,41,33
34,35, Tirol,DJ Ötzi,34,34,2
35,36, kota ini tak sama tanpamu,Nadhif Basalamah,33,35,21
36,37, Menerima Luka,Natasya Sabella,37,—,1
37,38, Turn The Lights Off,"Justė, Jaxstyle, Jon",4,38,20
38,39, ZEP (feat. Uncool MC),"Dj Smallz, ZinedinexSguche, 031CHOPPA, Uncool MC",5,33,11
39,40, Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",23,36,95
40,41, Strut,"Ayanna Ife, ZEDDY WILL, Jenn Carter",21,37,14
41,42, Never Ending Story,"Gaten Matarazzo, Gabriella Pizzolo",1,43,36
42,43, Be3teeny Leh | Red Bull Mazzika Salonat,"Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika",11,39,18
43,44, Sedia Aku Sebelum Hujan,Idgitaf,10,40,43
44,45, NOT CUTE ANYMORE,ILLIT,14,42,25
45,46, Good Goodbye,HWASA,4,44,36
46,47, Running Up That Hill (A Deal With God),Kate Bush,1,54,5
47,48, Phantom,"EsDeeKid, Rico Ace",16,45,109
48,49, Esse Cupido Não Me Ajuda,"Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending",8,47,25
49,50, Raindance (feat. Tems),"Dave, Tems",20,48,17
50,51, Silêncio,"Toca Aquela, Breno Major, Mariana Fagundes, Thauane",7,46,11
51,52, A Little Thing Like Love,Kayla Kross,52,55,2
52,53, Gal Sun,"Sabat Batin, Rackstar",4,50,52
53,54, SENDA BELLAKONA,SINAKA,52,53,3
54,55, FDO,Pooh Shiesty,36,49,4
55,56," Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",44,51,11
56,57, Bunu Senden Beklemezdim,Eda Doğanay,4,52,22
57,58, WHERE IS MY HUSBAND!,RAYE,2,58,88
58,59, Pag-Ibig ay Kanibalismo II,fitterkarma,2,60,63
59,60, İntihaşk,Onur Can Özcan,60,66,3
60,61, Yeniden,Ragga Oktay,11,57,21
61,62, Nakupenda,"TxC, Davido, Shoday, Scotts Maphuma, Zlatan, Al Xapo",48,59,4
62,63, Beast (feat. Waka Flocka),"Mia Martina, Waka Flocka Flame",63,—,1
63,64, Love Me,JMSN,26,63,43
64,65, Disarankan di Bandung,"Dongker, Jason Ranti",9,61,38
65,66, When It's Cold I'd Like to Die,"Moby, Mimi Goese",59,85,2
66,67, Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",18,56,18
67,68, I Run,"HAVEN., Kaitlin Aragon",4,65,25
68,69, Fever,"Buckshot, fakemink",21,64,45
69,70, I Think They Call This Love - Cover,Matthew Ifield,43,62,31
70,71, Ada titik-titik di ujung doa,Sal Priadi,70,70,3
71,72, CHANEL,Tyla,23,67,53
72,73," Naal Nachna (From ""Dhurandhar"")","Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil",59,68,11
73,74, Upside Down,Diana Ross,74,75,3
74,75, LA VILLA,"Ryan Castro, Kapo, Gangsta",73,73,6
75,76, I Want Things to Be Beautiful,Devi McCallion,61,72,17
76,77, herkes kendine yakışanı yapsın,"Organize, Waxy",16,69,25
77,78, กลัวว่าฉันจะไม่เสียใจ (Fear),PURPEECH,52,71,62
78,79, Choosin' Texas,Ella Langley,18,78,60
79,80, Century,EsDeeKid,19,74,46
80,81, Dardos,"Romeo Santos, Prince Royce",47,82,18
81,82, Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",5,77,86
82,83, Dekha Hi Nahi,Osho Jain,69,76,11
83,84, Kalapastangan,fitterkarma,8,80,59
84,85, Too Sweet,"Trinix, The Macarons Project",85,87,7
85,86, Panis ka boy,"GA Chillerong Ghetto, Paul N Ballin",70,84,10
86,87, Who Knows,Daniel Caesar,9,83,53
87,88," Shararat (From ""Dhurandhar"")","Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",59,79,18
88,89, SENCY,"dia, Tenxi",66,90,16
89,90, Eu Só Quero Você,"AgroPlay, Ana Castela, Zé Felipe",84,88,4
90,91, So Easy (To Fall In Love),Olivia Dean,7,94,81
91,92, La Perla,"ROSALÍA, Yahritza Y Su Esencia",3,93,39
92,93, BYE BYE,"Era7capone, Murda",91,97,4
93,94, melodrama,"disiz, Theodora",9,89,81
