,ranking,title,artist,peak,prev,streak
0,1, Turn The Lights Off,"Kato, Jon",1,1,28
1,2, I Thought I Saw Your Face Today,She & Him,2,2,56
2,3, Fanatismo,Yasmin Sensação,2,3,7
3,4," Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",4,4,21
4,5, Pase y Toque,"BeatBoy, Victor Mendivil",5,5,7
5,6, SO ASU x Dora Dora,melo,5,6,5
6,7, End of Beginning,Djo,1,11,36
7,8, FA9LA,Flipperachi,1,7,27
8,9, gravity,all things break,6,8,21
9,10, you broke my heart (Hoodtrap / Mylancore Remix),"kobzx2z, Myla, Kryd",9,9,4
10,11, DUY BENİ,Göksel İpekçi,7,10,7
11,12, Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",7,14,45
12,13, Die On This Hill,SIENNA SPIRO,8,13,70
13,14, Seet Lehar,"Filmy, Riyaazi",9,12,12
14,15, Beast (feat. Waka Flocka),"Mia Martina, Waka Flocka Flame",15,29,4
15,16, EEEE A,dia,12,16,17
16,17, Al Final del Día,Xolo Music,16,17,5
17,18, Zoo,"Disney, Shakira",6,18,39
18,19, Alô Virgínia - Ao Vivo,"Grupo Chocolate, Turma do Pagode",5,15,14
19,20, My Moon My Man,Feist,19,19,13
20,21, Menerima Luka,Natasya Sabella,21,28,4
21,22, KALYANI,"ARJN, KDS, FIFTY4, RONN",21,21,35
22,23, Meri Zindagi Hai Tu,"Asim Azhar, Sabri Sisters",15,25,31
23,24, Never Ending Story,"Gaten Matarazzo, Gabriella Pizzolo",1,31,39
24,25, Ya Borracho,Herencia De Grandes,7,26,42
25,26, 4 Raws,EsDeeKid,11,20,105
26,27," Big Guy - from ""The SpongeBob Movie: Search for SquarePants”",Ice Spice,23,23,35
27,28, Montagem Miau,Lenar,3,22,35
28,29, BOO,H3adband,22,24,21
29,30, bargad,"sufr, Arpit Bala, toorjo dey",1,27,44
30,31, Turn The Lights Off,"Justė, Jaxstyle, Jon",4,33,23
31,32, Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",19,30,7
32,33, Hawa Hawa,Hassan Jahangir,28,32,8
33,34, kota ini tak sama tanpamu,Nadhif Basalamah,33,34,24
