,ranking,title,artist,peak,prev,streak
34,35, Tirol,DJ Ötzi,34,35,5
35,36, Purple Rain,Prince,1,56,3
36,37, Strut,"Ayanna Ife, ZEDDY WILL, Jenn Carter",21,39,17
37,38, ดอกกระเจียวบาน,Kong Huayrai,18,36,7
38,39, Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",23,40,98
39,40, KUSURA BAKMA,BLOK3,5,37,21
40,41, A Little Thing Like Love,Kayla Kross,41,43,5
41,42, SNOKONOKO,"Al Xapo, Benzoo, EeQue",9,38,21
42,43, ZEP (feat. Uncool MC),"Dj Smallz, ZinedinexSguche, 031CHOPPA, Uncool MC",5,41,14
43,44, Meu Bem Querer,Yasmin Sensação,21,42,7
44,45, Running Up That Hill (A Deal With God),Kate Bush,1,44,8
45,46, Good Goodbye,HWASA,4,45,39
46,47, İntihaşk,Onur Can Özcan,47,49,6
47,48, Raindance (feat. Tems),"Dave, Tems",20,48,20
48,49, NOT CUTE ANYMORE,ILLIT,14,46,28
49,50, Sedia Aku Sebelum Hujan,Idgitaf,10,47,46
50,51, Gal Sun,"Sabat Batin, Rackstar",4,51,55
51,52, SENDA BELLAKONA,SINAKA,52,52,6
52,53, WHERE IS MY HUSBAND!,RAYE,2,53,91
53,54," Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",44,55,14
54,55, When It's Cold I'd Like to Die,"Moby, Mimi Goese",55,57,5
55,56, Phantom,"EsDeeKid, Rico Ace",16,54,112
56,57, Be3teeny Leh | Red Bull Mazzika Salonat,"Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika",11,50,21
57,58, Pag-Ibig ay Kanibalismo II,fitterkarma,2,60,66
58,59, Esse Cupido Não Me Ajuda,"Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending",8,58,28
59,60, Love Me,JMSN,26,62,46
60,61, FDO,Pooh Shiesty,36,59,7
61,62, Bunu Senden Beklemezdim,Eda Doğanay,4,61,25
62,63, Fever,"Buckshot, fakemink",21,64,48
63,64, Choosin' Texas,Ella Langley,18,68,63
64,65, I Run,"HAVEN., Kaitlin Aragon",4,65,28
65,66, Silêncio,"Toca Aquela, Breno Major, Mariana Fagundes, Thauane",7,63,14
66,67, Upside Down,Diana Ross,67,67,6
67,68, SENCY,"dia, Tenxi",66,73,19
68,69, Ada titik-titik di ujung doa,Sal Priadi,66,66,6
69,70, LA VILLA,"Ryan Castro, Kapo, Gangsta",70,72,9
70,71, Nakupenda,"TxC, Davido, Shoday, Scotts Maphuma, Zlatan, Al Xapo",48,69,7
71,72, Disarankan di Bandung,"Dongker, Jason Ranti",9,70,41
72,73, CHANEL,Tyla,23,74,56
73,74, I Want Things to Be Beautiful,Devi McCallion,61,75,20
74,75, Dardos,"Romeo Santos, Prince Royce",47,78,21
75,76," Naal Nachna (From ""Dhurandhar"")","Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil",59,76,14
76,77, New Year’s Day,Taylor Swift,44,80,3
77,78, Yeniden,Ragga Oktay,11,71,24
78,79, Um Novo Dia - Ao Vivo,"Get Worship, Get Records, Melk Villar, Vinicius Cruz",79,83,3
79,80, Century,EsDeeKid,19,81,49
80,81, Tahanan,El Manu,64,91,2
81,82, Kalapastangan,fitterkarma,8,84,62
82,83, Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",18,77,21
83,84, NO ME QUIERO CASAR,Bad Bunny,84,86,3
84,85, Panis ka boy,"GA Chillerong Ghetto, Paul N Ballin",70,82,13
85,86, So Easy (To Fall In Love),Olivia Dean,7,88,84
86,87, I Think They Call This Love - Cover,Matthew Ifield,43,79,34
87,88, กลัวว่าฉันจะไม่เสียใจ (Fear),PURPEECH,52,85,65
88,89, Who Knows,Daniel Caesar,9,90,56
89,90, herkes kendine yakışanı yapsın,"Organize, Waxy",16,87,28
90,91, BYE BYE,"Era7capone, Murda",91,95,7
91,92," Shararat (From ""Dhurandhar"")","Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",59,92,21
92,93, Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",5,89,89
93,94, Dekha Hi Nahi,Osho Jain,69,93,14
94,95, Livin’ on Borrowed Time,Breaking Rust,3,98,2
95,96, Bless the Telephone,Labi Siffre,20,—,1
96,97, La Perla,"ROSALÍA, Yahritza Y Su Esencia",3,97,42
97,98, Too Sweet,"Trinix, The Macarons Project",85,94,10
98,99, Everything Is Romantic,Orchestra Club,16,96,44
99,100, Kids,Kyle Dixon & Michael Stein,27,—,1
